55785e_10	 Am spart ușile unei cabine și am căzut la pământ...	 Am dat buzna printre uși și am căzut.
55168c_47863	 pentru că mereu îmi fac griji că nu se va întări, pentru că atunci când o scoți din cratiță, mă gândesc că sper să se mai îngroașe puțin, pentru că nu e groasă ca la pachet, știi, când gătești un pachet, e puțin mai puțin.	 Pe ambalaj este indicat modul exact în care se va îngroșa.
66512e_47902	 Inaccesibil, cu excepția unui tunel săpat prin 15 metri de stâncă solidă, Guadalest nu a fost niciodată cucerit, deși Iacob I de Aragon l-a cucerit prin asediu în timpul Reconquistei din secolul al XIII-lea.	 La Guadalest se putea ajunge doar trecând printr-un tunel în stâncă.
101719n_47907	 Presupunerea este ridicolă." Același membru al juriului care îl întrerupse mai înainte a sugerat aici că chimistul care a preparat medicamentul ar fi putut comite o eroare. 	 Juratul îl întrerupse înainte de a face niște acuzații nebunești.
86537c_47916	 În dohyo, o movilă înălțată de argilă dură cu diametrul de aproximativ 4,6 m (15 ft), sub un baldachin suspendat în stil Shinto, aruncă sare peste dohyo pentru a o purifica de spiritele rele, se agită în jur și încep să își sperie adversarul.	 Spiritele rele sunt încurajate să se instaleze în dohyos.
45642c_47920	 da, investigatorul da, a scăpat imediat și am scris în chestionarul meu că mi-a spus asta, așa că m-am gândit că asta mă va face părtinitor și nu voi fi ales.	 Cred că mă vor alege pe mine pentru că vor crede că nu sunt părtinitoare.  
99098c_47928	 Ceea ce nu mi-am dat seama când am postat această întrebare a fost că sunt posibile două tipuri diferite de răspunsuri - cele care iau în derâdere idioțenia lui Warren Weideman pentru că a propus filme cu adevărat stupide, implicând frecvent un filosof abscons, și cele care iau în derâdere Showtime pentru că face filme cu adevărat stupide, implicând frecvent Shannon Tweed fără cămașă.	 Unii oameni iau în derâdere idocazia lui Warren Smith.
77099e_47932	 John (Peter Sarsgaard), unul dintre viitorii săi violatori și criminali, îi spune "micuțule prieten" și pare aproape atras de el; interpretarea lui Sarsgaard este un studiu fin cizelat al modului în care emoțiile nerezolvate se pot transforma brusc în violență.	 John părea să fie la limită atras de el.
109592n_47956	 Programarea evaluării	 Calendarul evaluării și al concluziilor
112697e_47959	 Timp de mai bine de jumătate de secol, Societatea de asistență juridică din comitatul Passaic a luptat în numele persoanelor sărace din comitat, în litigii care variază de la locuințe, la custodia copiilor și asistență publică.	 Passaic County Legal Aid Society a petrecut peste 50 de ani luptând pentru cei săraci.
70644e_47971	 De fapt, oamenii aduc tipărituri cu întrebări pe care să le pună medicilor lor de familie.	 Persoanele fizice duc o listă de întrebări la vizitele la medic.
40854e_47972	 Armata a trebuit să zdrobească revoltele din Sicilia și Napoli împotriva impozitelor mari și a recrutării pentru războaiele Spaniei din nordul Europei.	 Armata trebuia să oprească revoltele împotriva taxelor și a serviciului militar forțat.
82294n_47979	 și cred că asta a contribuit mult la delincvența care funcționează și la rezultatele școlare slabe pe care le avem... că elevii... părinții nu s-au interesat suficient de ei încă de la început și cred că sentimentul meu a fost că cei mai buni profesori ar trebui să fie în clasele întâi, a doua și a treia pentru ca elevii să aibă un start bun, să aibă experiențe pozitive de la nivelurile inferioare, astfel încât să dorească să continue să învețe și să meargă mai departe, nu să aștepte până în clasele a noua și a zecea... e prea târziu, atunci nu poți inversa tendința în acel moment.	 Cred că acest lucru are un rol important în delincvența copiilor din districtele școlare sărace.
95667c_47983	 Departe de plajă, puteți înota la Aqualand din Benidorm, un parc de distracții acvatice.	 Chiar lângă plajă se află Aqualand din Benidorm.
9693c_47994	 În timpul verii, dacă stați lângă un estuar rezonabil de liniștit, este posibil să vedeți o rândunică neagră.	 În timpul verii, este posibil să vedeți câțiva masculi în estuar. 
23035e_48016	 Mulțimea s-a subțiat și orașul de corturi s-a ridicat în jurul lor, în mare parte gol la această oră a dimineții.	 Dimineața nu a fost foarte aglomerat.
30474e_48029	 În momentul de față nu există nimic care să se apropie de un regim internațional pentru a ține armele biologice departe de mâinile teroriștilor.	 Armele biologice pot cădea în continuare în mâinile teroriștilor.
116746e_48043	 În afară de hotărârea fermă de a se răzbuna pe domnul Brown, nu avea niciun plan.	 Își dorește profund să se răzbune pe domnul Brown.
55382n_48044	 este atât de trist, știi, este atât de trist, știi, este atât de trist, pentru că nu te mai poți bucura de nimic, în San Antonio nu știu care este răspunsul... educația cred că are o mare parte din vină... atât de mulți dintre copii au abandonat școala... sunt multe droguri și au o viață fără speranță, se duc pe tuneluri fără speranță... cred că educația ajută puțin... din nou, nu știu ce pași ar trebui să facă...	 Copiii din San Antonio vor renunța la consumul de droguri dacă se vor investi mai mulți bani în educație.
19389e_48049	 Sfânta Ecaterina a fost mult timp o mănăstire foarte bogată și influentă, fondând școli în Grecia și în întreaga lume ortodoxă.	 St-Catherine's a înființat școli în Grecia și în multe alte zone.
27902c_48062	 El este hotărât să nu piardă închiderea ca data trecută și, datorită noului său plan, nu o va face.	 Probabil că va pierde la această închidere.
12475n_48102	 Orele de funcționare (a se vedea pagina 119) variază considerabil, agenții de presă și barurile de sandvișuri fiind deschise cu mult înainte de ora 9.00, iar alte magazine până la ora 9.30 sau 9.45.	 Agențiile de presă și barurile de sandwich-uri sunt deschise la ore nerealiste.
139671n_48104	 Ambele trasee sunt împărțite în segmente mai mici de dificultate variabilă.	 Există doar două trasee, unul mai dificil decât celălalt.
41025c_48123	 unele dintre lucrurile la care nu ne-am gândit atunci când am cumpărat, dar care s-au dovedit a fi bune pentru noi, au fost că am cumpărat pe vârful unui deal, iar unii dintre vecinii noștri din partea de jos își inundă curțile din când în când, nu intră în casă, dar face un pic de mizerie în curte, un pic de moloz și un pic de scurgere a apelor pe	 Am cumpărat o casă la poalele unui deal și am avut probleme cu inundațiile.
20644c_48155	 da, îmi amintesc, adică în timpul anilor de liceu am fost la o școală privată în anii de gimnaziu, care au fost în perioada de dezvoltare a vieții mele și era o școală mică, aveam vreo 20 de persoane în gimnaziu, adică în clasa mea, în clasa a șaptea, aveam 20 de persoane, iar când am trecut în clasa a opta, aveam vreo 20. douăzeci sau douăzeci și cinci de elevi în clasa a opta și aveam două clase diferite, așa că raportul era foarte bun. În ceea ce privește profesorii, am avut profesori foarte buni și am învățat foarte mult. Cred că dacă aș fi mers la o școală privată în timpul liceului, probabil că nu aș fi dezvoltat abilități de studiu atât de bune, pentru că am crezut că școala privată a fost dificilă.	 Am fost la o școală publică mare.
110056c_48162	 Liana simbolizează impasibilitatea pe care se spune că a observat-o în această poziție verticală de pratimayoga, pe care a adoptat-o timp de un an întreg ca răspuns la pofta de putere lumească a fratelui său.	 Ca reacție la dorința de putere a fratelui său, a adoptat o viață activă de ajutorare a celor săraci și nevoiași timp de un an.
76452e_48164	 Dacă ajung în sat și acesta este populat, mulți vor muri.	 Toți oamenii din sat vor muri dacă aceste creaturi vor intra. 
108778e_48175	 Ați ghicit.	 Ați nimerit în plin.
129447c_48194	 uh-huh și atunci ai putea avea mai mult control asupra moralității pe care le-ar fi învățat, mai degrabă decât într-o sală de clasă sau într-o grădiniță.	 Veți avea mai multă influență morală cu o clasă decât dacă ați alege o altă opțiune.
84979c_48203	 De exemplu, să presupunem că un studiu estimează că WTP-ul mediu pentru o reducere a riscului de mortalitate de 1/100.000 este de 50 de dolari, dar că reducerea reală a riscului de mortalitate care rezultă dintr-o anumită reducere a poluanților este de 1/10.000 de dolari.	 Studiile pot estima întotdeauna cu exactitate reducerile ratelor de mortalitate.
56166e_48206	 Presupun că este o chestiune de mărturie?  Sir James a ezitat o clipă, apoi a răspuns: 	 Sir James a răspuns cu un da ca răspuns la întrebare.
43634e_48224	 gigantică în comparație cu ceea ce ne folosea, așa că am vândut-o și nu am mai cumpărat-o niciodată și e păcat că acum copiii sunt adolescenți și ar vrea să iasă acolo și să învețe să schieze și să facă din nou plimbări cu barca și să pescuiască, așa că probabil vom face ceva de genul ăsta.	 Este mult mai mare decât cea cu care suntem obișnuiți.
65348e_48246	 Ocazional, potârnichile și iepurii sunt cam toate posibilitățile.	 Nu există multe alte posibilități în afară de potârnichi și iepuri.
6552n_48251	 [î]ntreaga seară nu se deosebește de mult discutata Kidman netedă, palidă și zveltă.	 Seara este ca și cartea lui Kidman, netedă, palidă și zveltă.
40430n_48258	 Așa e. Sunt cam rău în privința asta. Îmi plăcea să am un serviciu de tuns iarba, dar acum am timp și chiar nu pot. Chiar nu vreau să cheltuiesc bani pentru asta. Da, e adevărat.	 Nu mă pricep să-mi tund gazonul.
24619e_48263	 Sună ca o premisă pentru un sitcom.	 Asta sună ca o poveste desprinsă dintr-un serial de comedie.
90432c_48268	 Am vrut să fiu cel a cărui plecare a lăsat sala să cadă în tăcere - tăcere, pe care, vorbind, am învățat să o iubesc.Dar ce am făcut, când nimeni nu mă iubea, decât să vorbesc, să vorbesc, să vorbesc, să vorbesc până când am spus, ca Petru, ceea ce nu trebuia să spun sau, ca în seara asta, până când am spus exact ceea ce trebuia să spun. Și în timp ce mă îndreptam spre casă pe întuneric, cu cauciucurile gemând,am urlat cu fiecare cântec de la radio,am strigat cuvintele stupide ale unui străin adolescent,am strigat furia altcuiva, dragostea altcuiva până când mi-am putut suporta propria voce și tăcerea ei.	 Urăsc tăcerea, de aceea vorbesc tot timpul. 
59561c_48270	 și a avut un pui cred că ultimul ei pui a avut vreo patru și doi dintre ei au supraviețuit și apoi ea nu a supraviețuit.	 Mama nu a supraviețuit procesului de naștere și niciunul dintre căței nu a supraviețuit.
142041c_48279	 Ei nu trebuie să aibă nicio bănuială că îi folosim pentru propriile noastre scopuri.	 Și-au dat seama că avem propriile noastre motive pentru a le folosi.
75832n_48293	 Pe măsură ce nivelul de reducere (pe axa orizontală) ajunge până la e de cent, 20 de miliarde de bucăți sunt presortate.	 Axa verticală arată câte bucăți de corespondență sunt sortate.
82868e_48318	  "Folosind ce armăsar ca momeală?"	 Folosești masculul ca momeală?
105737c_48331	 Trebuie să știu dacă avem vreo șansă de a-i învinge.	 Sunt sigur că îi voi învinge pe toți.
72909e_48347	 Acest lucru este valabil mai ales atunci când acestea înlocuiesc reclamele Calvin Klein, care l-ar fi putut pune pe Martin într-o dispoziție mai benefică din punct de vedere social.	 Reclamele Calvin Klein au reformulat modul în care era văzut Martin.
76175n_48356	 cred că sunt optzeci la sută șanse în această seară, dar ar trebui să se limpezească cel puțin până mâine la prânz și apoi restul va fi fără ploaie	 Pun pariu că va ploua în această seară.
64819e_48371	 Dacă facem acest lucru cum trebuie, putem reduce numărul lor cu o treime și nu vom pierde niciunul dintre noi.	 Planul nu implică pierderi din partea noastră. 
12279c_48432	 Caut luptători curajoși și puternici ca tine pentru a ajuta la apărarea orașului nostru.	 Mă pot proteja!
14297n_48439	 Liniștea curgea peste ei.	 Stăteau în tăcere stupefiată.
15295n_48448	 Studiul afirmă că economiile potențiale care rezultă din efectuarea unor revizuiri eficiente ale proiectării variază de la un minim de 3 la sută până la 20 la sută din TPC, și chiar mai mult atunci când sunt luate în considerare economiile indirecte.	 Studiul afirmă că economiile potențiale rezultate în urma unei proiectări eficiente variază între 3 și 20 de procente din TPC și de o mie de ori mai mari atunci când sunt luate în considerare economiile indirecte.
145481e_48480	 Închisoarea parohială (enclos paroissial) reprezintă viața religioasă din zona rurală a Bretaniei în secolele XVI-XVIII.	 Patoissal-ul anexat arată cum era viața religioasă în Bretania între anii 1500-1700. 
636e_48486	 uh-huh da, acesta este unul dintre lucrurile la care nu ne gândim pe măsură ce îmbătrânim și la banii pe care îi necesită acum pentru a fi într-unul din aceste locuri, pentru că unii dintre acești oameni care sunt doar pe securitate socială și dacă nu au rude în viață, poate că nu au avut niciodată copii sau dacă copiii lor au murit înaintea lor, pot fi în unele locuri care sunt...	 Pe măsură ce îmbătrânim, tindem să uităm cât de mult costă să trăiești într-unul dintre aceste locuri.
107695n_48505	 Prin intermediul liniei telefonice gratuite, care și-a făcut debutul oficial săptămâna trecută, Luu și alți angajați ai proiectului calmează apelanții neliniștiți și chiar stârnesc râsete din partea celor care nu știu încotro să se îndrepte.	 Fiecare apelant a avut parte de un râs bun din partea lui Luu și a angajaților de la linia telefonică gratuită. 
124091c_48526	 Acum, datorită unui nou tribunal comunitar care s-a deschis săptămâna aceasta la Academia Carver, ea va obține divorțul cu ajutorul judecătorilor de la Tribunalul Districtual din comitatul Bexar și al avocaților care plătesc peste 300 de dolari pe oră și care își oferă voluntar serviciile pentru a oferi asistență juridică gratuită rezidenților din Bexar aflați în sărăcie.	 A primit ajutor gratuit pentru a-și plăti taxele.
8979c_48550	 Da, cred că loteria ne-ar fi ajutat, așa că nu ar fi fost la fel de dureros ca ceea ce am fi plătit din impozitul pe venit, adică probabil că am fi plătit aceeași sumă, dar nu este ideea de a plăti impozit pe venit.	 Ei ar fi plătit o sumă diferită.
114553c_48552	 47Impozitele de asigurări de sănătate se plătesc pentru toate câștigurile, în timp ce impozitele de asigurări sociale se aplică câștigurilor până la un maxim anual - 76.200 $ în 2000.	 Impozitele salariale pentru Medicare se aplică la o sumă maximă de venituri.
68035e_48567	 Pe vremuri, douăzeci de oameni lucrau pentru a produce articole de strungărie pentru fabricile de lână, o piață care, în cele din urmă, s-a epuizat atunci când industria lânii a intrat în declin.	 În urma declinului industriei lânii, fabricile de lână nu au mai avut nevoie să folosească produse transformate.
104841e_48602	 suprataxă de 7,5 % din plățile către CD care intră într-un fond comun pentru a fi utilizate	 Suprataxa pe plăți va fi vărsată într-un fond comun.
76410e_48603	 și oamenii nu-și dau seama de asta, dar sunt mulți aici și în felul acesta pot face bani, pentru că fac bani și apoi îi pun înapoi în afacerea altcuiva.	 Atunci când cheltuiți bani, îi dați altcuiva. 
50250n_48621	 Jon a ridicat din umeri.	 Nu știa ce să răspundă.
8846e_48677	 "Au aplaudat când am intrat", am murmurat.	 Am murmurat decât au aplaudat.
29946e_48694	 Dar, deocamdată, cred că este important să-mi îndeplinesc datoria de avocat de a-i ajuta pe cei care au cea mai mare nevoie, de a vorbi pentru cei care nu pot vorbi pentru ei înșiși și de a-i apăra pe cei a căror viață și mijloace de trai depind de aceasta, a spus el.	 Este important să-mi îndeplinesc misiunea de avocat al săracilor.
8041c_48699	 Bine ar putea să tremure.	 Harry se cutremură.
6449e_48729	 De fapt, genetica și colegii sunt cei care te fac să fii cine ești Cum te cresc părinții contează prea puțin.	 Genetica și colegii au mai multă influență asupra a ceea ce ești decât educația pe care ți-au dat-o părinții tăi.
132931n_48752	 S-au așezat pe poziții, iar Jon stătea pe stâncă și supraveghea orașul și ceața de dincolo.	 Jon privea cu atenție orașul.
35722e_48797	 Când toți au ieșit, Bork a atins obiectul în formă de ou și l-a prins în timp ce acesta se micșora.	 Bork a bătut obiectul în formă de ou și l-a prins în timp ce se micșora, atunci când toate erau afară.
20198c_48809	 La cealaltă extremă, în cazul în care cuplul a transferat pur și simplu fondurile dintr-un alt cont sau activ în IRA (de ex.	 Cuplurile dontvsuit fonduri dintr-un alt cont 
25593e_48849	 Vreau să spun și este urât	 Nu arată deloc bine.
129093n_48865	 de asemenea, au făcut pentru o lungă perioadă de timp au făcut compania a fost de a plăti pentru a doua opinie	 Compania a favorizat o opinie în detrimentul alteia.
47402n_48874	 De câte secole de bună guvernare ar fi nevoie pentru a echilibra scorul pentru cambodgieni?	 Ar fi nevoie de aproximativ 400 de ani de guvernare fără cusur.
70855e_48888	 și vorbesc cu ei despre asta, dar, desigur, ei încă nu au nici un concept de	 Ei nu înțeleg
62991e_48910	 Nu vă speriați și nu spuneți nu dintr-o dată.	 Nu vă speriați și nu refuzați imediat.
76096e_48913	 Aceștia vor avea mai puțină răbdare pentru discuțiile optimiste despre sinergie și despre îmbinarea conținutului cu distribuția.	 Înainte aveau mai multă răbdare decât acum pentru discuțiile optimiste despre sinergie.
96338n_48960	 Din punct de vedere politic, este antidemocratic, înlocuind procesul decizional al Congresului și al executivului.	 Din punct de vedere politic, este nedemocratică și înlocuiește procesul decizional al Congresului și al Executivului cu unul liber pentru toți.
125829c_48969	 Carieră și familie.	 Cariera sau dragostea?
141780e_48975	 Dacă cineva merită să se refugieze în apărarea "toată lumea minte în legătură cu sexul", aceea este Monica, nu Clinton.	 Monica are mai multe motive să folosească apărarea "toată lumea minte în legătură cu sexul" decât Clinton.
121990e_48988	 Sunt condimentați și însetați de sânge.	 Au simțit nevoia de a bea lichide vitale.
123813n_49022	 Cele mai bune parfumuri franceze, articole din mătase, porțelanuri, lichioruri de cristal și vinuri de epocă.	 Produse alcoolice și articole de îmbrăcăminte importate din Franța.
11950n_49040	 Underplayed : Un om de știință californian a anunțat că a reușit să facă puii să se comporte ca prepelițele prin înlocuirea celulelor cerebrale embrionare ale acestora cu celule cerebrale de prepeliță.	 Un om de știință californian a declarat că a făcut puii să se comporte ca niște prepelițe hipnotizându-i.
10475c_49054	 Draga mea Prudence,	 Bună, Patty, vreau să-ți spun ceva.
125004e_49077	 uh-huh uh-huh uh-huh da, prietenul nostru de aici are un Mustang cu șaizeci și cinci sau șaizeci și șase de cilindri și m-am uitat sub capota lui zilele trecute și, așa cum ai spus, poți vedea drumul, e uimitor.	 Prietenul nostru din apropiere are un Mustang cu șase cilindri din 65' sau 66'.
5405n_49096	 Ei bine, cred că veți fi foarte mulțumiți să scăpați de banană, așa cum obișnuiam să o numesc, am folosit-o pe alte mașini în zilele trecute și am fost foarte mulțumit să o părăsesc, a fost un adevărat acaparator de memorie atunci când ați început să faceți schimbări mari de blocuri în ea.	 Cred că vei fi în regulă cu banana, chiar dacă este un mare consumator de memorie. 
119133c_49125	 Încercăm să ne implicăm avocații în activități pro bono încă de la începutul carierei lor, a declarat Christopher K. Tahbaz, 37 de ani, partener la Debevoise and Plimpton. 	 Implicăm avocații în cazuri pro bono după ce au practicat timp de 5 ani.
138540n_49155	 3 Cine a început bătaia?	 Cine a început bătălia cu topoare?
53181n_49159	 Aceste dovezi pot include martori de coroborare - și chiar și un neprofesionist care se reprezintă singur are puterea de a cere o citație pentru a solicita o mărturie.	 Orice probă va include întotdeauna un martor care să o coroboreze.
68736e_49176	 I s-a spus că era vorba de "North American Married Brotherhood League of America".	 I s-a spus ce reprezintă literele: "Liga Nord-Americană a Frăției Căsătorite din America". 
22341n_49185	 Pe drum, veți trece pe lângă închisoarea folosită de japonezi în timpul celui de-al Doilea Război Mondial și apoi pentru trupele de gherilă capturate în timpul Urgenței.	 Închisoarea este folosită și în prezent.
23468n_49251	 A fost cu adevărat.	 A fost locul perfect
63006e_49287	 cred că asta e cred că asta a fost o mică parte dificilă acolo și nu înțelegeam cultura, nu puteam să înțelegem, aveam o tânără de paisprezece ani care lucra în unitatea pe care o comandam și care părea să aibă opt sau nouă ani, iar oamenii arătau ca niște copii, adică nu-ți puteai imagina că cineva ar ascunde o bombă și...	 Era de neimaginat ca cineva să ascundă o bombă.
134855e_49323	 În unele state, este posibil să fie necesară obținerea unei autorizații provizorii de exploatare a aerului până la modificarea autorizației de titlu V.	 Este posibil să fie necesar să se obțină o autorizație provizorie de exploatare aeriană până când apar schimbări, dar numai în unele state.
34509e_49324	 Atunci acest aranjament vă convine?	 Ești mulțumit de aranjament atunci?
119619n_49345	 Bătrânul se trezește, se gândi Jon.	 Bătrânul a făcut zgomot.
84882e_49371	 și sunt victime incredibile ale criminalității, iar o parte din această lipsă de informații de bază este disimulată și nu spun că este ușor de făcut și știu că sunt câțiva oameni care încearcă, dar nu există fonduri pentru a face prea multe lucruri.	 S-au comis infracțiuni împotriva lor.
35938n_49376	 Nu se holbau cu adevărat la tine.	 A fost lăsat să creadă că erau fixați pe el și a simțit un sentiment de mândrie și bucurie, dar încrederea i-a fost spulberată când i s-a spus că nimeni de acolo nu se uita la el, ci se holba la ceea ce era pe el.
44944n_49387	 Revista prezintă profilul fostei activiste anti-apartheid Mamphela Ramphele, care în prezent conduce Universitatea din Cape Town. Ea și-a câștigat admiratori (și dușmani) insistând ca universitatea să nu-și ajusteze standardele pentru a favoriza studenții de culoare.	 Revista prezintă profilul fostului activist anti-apartheid Mamphela Ramphele, care nu mai crede în această cauză. 
60960c_49389	 roz și verde, da.	 Portocaliu strălucitor
22275n_49414	 Nikenation	 Afilierea la marca Nike. 
68581n_49418	 Povestea de copertă călătorește în iadul HMO.	 Articolul abordează motivele din spatele iadului HMO-urilor.
92643e_49453	 ! 	 Definițiile sunt clarificate.
86414c_49457	 A fost doar o iluzie indusă de acel... acel Bork!	 Este imposibil ca Bork să aibă puterea de a ne face să vedem lucruri care nu există.
114640c_49468	 Mormântul lui Michelangelo (culoarul din dreapta, al doilea rând) a fost proiectat de Vasari, cu statui simbolice de Pictură, Sculptură și Arhitectură în doliu sub un bust al artistului născut în Florența, care a murit la 89 de ani.	 Mormântul lui Vasari pentru Michaelangelo includea în total două statui, fiecare aflată la stânga și la dreapta unei statui centrale a lui Michaelangelo.
121430e_49471	 nu-ți place Mike Dunleavy	 Îți displace Mike Dunleavy
18697n_49472	 Dar Sabah se mândrește cu cel mai rapid arbore cu cea mai rapidă creștere din lume, un arbore asemănător salcâmului Albizzia falcataria, care a ajuns de la o sămânță germinată la aproape 11 m (peste 35 ft) în doar 13 luni.	 Specia de copac Albizzia Falcataria poate fi văzută doar în Sabah. 
28295e_49485	 Wigand și Bergman sunt amândoi cunoscători și, în cele din urmă, denunțători.	 Wingand și Bergman sunt niște fluierași. 
3674n_49500	 Cetățenii egipteni nu au voie să joace jocuri de noroc, astfel încât cazinourile sunt deschise doar pentru oaspeții străini cu vârsta de peste 21 de ani (vi se va cere un act de identitate).	 Egiptenii călătoresc în țările vecine pentru a vizita cazinouri.
7079c_49535	 Acesta din urmă a dat din cap.	 Primul a fost de acord.
113065e_49574	 Alți pelerini care vin în acest loc sunt mai mult interesați de o vizită la Berthillon, un producător consacrat de înghețată și sorbeturi uimitoare.	 Unii dintre cei care se înghesuie aici sunt foarte interesați de bunătățile reci găsite în Berthillon.
31856c_49575	 și există o iarbă pe care o poți folosi și care este tolerantă la umbră, dar nu-mi amintesc ce este, dar are un fel de cizmă în partea din față a cărții.	 Iarba despre care vorbesc eu are o lopată pe fața cărții.
123716n_49589	 Se mai numește și cost ne-variabil sau cost constant.	 Aceste intrări reflectă costuri care nu se modifică în timp.
86745e_49620	 Frumos conservate, acestea sunt considerate unele dintre cele mai importante opere de artă de la începutul Re?nais?sancei.	 Aceste lucrări provin din perioada Renașterii.
62772e_49638	 Doamna Vandemeyer a scos o exclamație bruscă de nerăbdare și a tras-o pe fată în genunchi.	 Doamna Vandemeyer nu este o femeie foarte răbdătoare. 
55073c_49688	 În continuare sunt prezentate câteva exemple de posibile 	 Iată câteva înghețate
69862n_49709	 da, da, într-adevăr, de fiecare dată când depozitez baterii, mă duc să le folosesc și sunt moarte, au fost depozitate atât de mult timp, oh, Doamne, bine, atunci acest lucru este un pic de ușurare, deși ei încă mai au avertismente tot timpul pe aici pentru	 Am câteva baterii stocate în acest moment.
75416e_49714	 Uitându-mă în jur după crengi pe care să le aduc acasă, văd fagii care încă își mai păstrează frunzele fragile și incolore și observ că florile căzute și efemere ale arțarului sunt pe cale să se deschidă.	 Copacii își pierdeau frunzele.
126722e_49746	 Poți citi mințile oamenilor? Vocea lui părea diferită, nu mai era nici o veselie sau bravadă.	 Vorbitorul este de sex masculin.
113826c_49758	 A lucrat pentru o firmă de asistență juridică din Lincoln și a condus pentru scurt timp o clinică juridică împreună cu doi prieteni.	 Clinica sa juridică a fost condusă împreună cu paisprezece dintre prietenii săi.
141783n_49773	 reciclați-l	 Reciclați dozele.
138130n_49786	 În timp ce Malwa și Gujarat, aflate în apropiere, au intrat sub dominație musulmană, Rajputana a rămas hindusă.	 Gujarant și Malwa au devenit musulmane, însă Rajputana a rămas independentă pentru a rămâne hindusă.
140390c_49806	 Nu, cineva ne-a luat-o înainte astăzi cu o oră sau cam așa ceva.	 Suntem cu o oră înaintea tuturor celorlalți.
120618e_49828	 Da, și cred că avem atâta nevoie acum, știi, am predat, cred că am fost plătit cu 9.000 de dolari ca să predau un an și am lucrat într-un district școlar foarte rural, iar unul dintre lucrurile pe care le-am predat a fost o clasă de calculatoare, iar acești copii...	 Am primit o sumă de nouă mii de dolari în schimbul predării timp de un an. 
108168e_49834	 Tradiționaliștii se plâng că aceasta va dilua vechile rivalități, va strica continuitatea statisticilor de la an la an, va șterge diferențele ciudate dintre cele două ligi (în principal, regula aruncătorului desemnat) și va strica mistica virgină și culminantă a World Series, care, până acum, a fost singura relație dintre cele două ligi.	 Tradiționaliștii se plâng că astfel rivalitățile vor fi mai puțin intense.
5873e_49840	 Tommy și-a mângâiat cu tandrețe propriul cap și s-a lăsat pradă plăcerilor imaginației.	 Tommy a început să viseze cu ochii deschiși în timp ce se scărpina în cap.
54606e_49866	 Doamne, ce crezi despre mine?	 Cum mă vezi?
1969n_49875	 Nu știu, spuse Poirot. 	 Nu sunt la curent, spuse Poirot.
137868n_49886	 S-ar putea să constatați că petreceți la fel de mult timp vorbind cu amerindieni, germani, scandieni și britanici ca și cu băștinașii.	 Cu siguranță veți sfârși prin a purta o conversație cu cel puțin un american. 
67588c_49923	 Fără un cuvânt, s-a întors și a urcat repede pe scări, în timp ce eu stăteam ca un idiot și mă uitam cu gura căscată după ea. 	 M-am hotărât să fac pasul în timp ce o priveam cum urcă scările. 
12765e_49960	 Liniile adânci de pe fața lui bărbierită îi întretaiau gura largă.	 Pielea îi era încrețită de riduri.
37878e_49965	  "Acum unde rămăsesem?" 	 Unde ne aflăm? a întrebat Bork.
6082c_49988	 Aceste probleme de pe linia de demarcație și aceste mici, dar vocale, circumscripții electorale fac ca aceste alegeri să fie pierdute de Bill Clinton.	 Bill Clinton ar trebui să piardă din cauza problemelor de la Beltway.
97003e_50009	 O dramă în care l-am omorât pe Greuze cu bâta, cât am putut de tare, și am găsit repede un loc unde să ascund cadavrul.	 O dramă în care l-am bătut pe Greuze cu toată puterea mea și nu am ezitat să găsesc o ascunzătoare pentru cadavru. 
116271c_50022	 La etajul al doilea, în 1588, fiul ei, Henri al III-lea, nu s-a folosit de otravă, ci de o duzină de oameni înarmați cu săbii și pumnale pentru a scăpa de rivalul său, ducele Henri de Guise.	 Henri al III-lea l-a otrăvit pe Henri de Guise. 
64381c_50031	 și trăim într-un oraș mic.	 Noi nu am mai fost niciodată într-un oraș mic.
100379c_50050	 Cum te cheamă?	 Care este numele meu?
26293n_50077	 Dacă tradiționaliștii sună uneori cu amărăciune, nu ar trebui să fie ceva la care să De la a fi numiți în tot felul de nume neplăcute, până la discriminare vădită, umilire publică și ostracizare, catolicii tradiționali au toate motivele să nu aibă încredere și să nu le placă aparatul Vatican II.	 Catolicii ar putea fi amărâți din cauza a ceva care nu are legătură cu faptul că au fost ostracizați.
86352e_50090	 Fiecare atac ca răspuns la o lovitură sau apărare din partea lui Kal care nu s-a întâmplat niciodată.	 Fiecare atac a avut loc, dar apărarea din partea lui a fost inexistentă.
107597c_50112	 De fapt, atât de dedicați sunt osakienii cultului mâncării, încât sunt cunoscuți pentru kuidare (mănânci până cazi sau până dai faliment).	 Kuidare înseamnă că ești cumpătat în ceea ce privește mâncarea.
100215e_50139	 Bettelheim credea în mod grandios în a fi un ghid, dar avea o îndrumare fundamental umilă în sensul că, în cele din urmă, ca și la început (una dintre frazele sale preferate), poți spera să te dezvolți doar dacă te străduiești să fii propriul tău ghid.	 Bettelheim a fost umil în îndrumarea sa, spre final.
137081e_50140	 Indiferent de ceea ce aș fi ajuns să fac, cred că aș fi găsit o modalitate de a face muncă publică în cadrul acestei profesii, pentru că așa am fost învățat, a spus Zelon. 	 Zelon a fost învățat să ia orice slujbă și să o transforme într-o poziție de serviciu public.
128013c_50145	 Angajată anterior într-o Triplă Alianță cu Austria și Germania, Italia a rămas neutră în 1914.	 Austria și Germania se aflau în război cu Italia.
